"reward","time","ITN_a","IRS_a","ITN_time","IRS_time","envID","seed"
-68.1012681189102,2019-04-25 10:30:24,0.35,0.79,None,None,none,14
-7.32735302666928,2019-04-25 10:30:24,0.95,0.65,None,None,none,95
44.23256035661076,2019-04-25 10:30:24,0.04,0.13,None,None,none,42
81.22032383961783,2019-04-25 10:30:24,0.95,0.01,None,None,none,5
49.00909211984213,2019-04-25 10:30:24,0.83,0.05,None,None,none,82
27.37951064501921,2019-04-25 10:30:24,0.14,0.68,None,None,none,14
0.18796299536876088,2019-04-25 10:30:24,0.45,0.28,None,None,none,58
6.735450053187507,2019-04-25 10:30:24,0.66,0.43,None,None,none,90
86.7942676325328,2019-04-25 10:30:24,0.95,0.01,None,None,none,52
12.420198317677798,2019-04-25 10:30:24,0.73,0.85,None,None,none,57
2.9667301261941557,2019-04-25 10:30:25,0.44,0.61,None,None,none,57
46.079411400226995,2019-04-25 10:30:24,0.04,0.16,None,None,none,32
55.743557965282626,2019-04-25 10:30:25,0.98,0.5,None,None,none,31
0.09449792820824428,2019-04-25 10:30:24,0.91,0.1,None,None,none,26
85.99798994783066,2019-04-25 10:30:25,0.95,0.01,None,None,none,62
72.58511678562883,2019-04-25 10:30:25,0.31,0.99,None,None,none,84
26.61494640392301,2019-04-25 10:34:28,0.79,0.26,None,None,none,42
-0.68584748710471,2019-04-25 10:34:28,0.17,0.28,None,None,none,67
-61.76350467080616,2019-04-25 10:34:28,0.27,0.78,None,None,none,27
18.947811617181706,2019-04-25 10:34:28,0.51,0.94,None,None,none,41
-15.522541127366397,2019-04-25 10:34:28,0.85,0.7,None,None,none,9
3.7351450487336257,2019-04-25 10:34:28,0.65,0.65,None,None,none,87
45.71171898267837,2019-04-25 10:34:28,0.31,0.42,None,None,none,36
17.241055976306658,2019-04-25 10:34:28,0.52,0.94,None,None,none,67
4.000359026102252,2019-04-25 10:34:29,0.82,0.98,None,None,none,39
-6.584060781646698,2019-04-25 10:34:29,0.45,0.19,None,None,none,50
27.405338395788657,2019-04-25 10:34:29,0.72,0.26,None,None,none,69
21.104637681406576,2019-04-25 10:34:29,0.69,0.29,None,None,none,70
7.3094466630342,2019-04-25 10:34:29,0.72,0.96,None,None,none,27
